population_count: 15
population_size: 15
node_cap: 100
generations: 50
target_accuracy: 97.0%
random_seed: 4
Population: 0  Node Count: 78
3.7162701384076975e-13 3.7162701384076975e-13
Generation # 0  Max Fitness: 6.262278262365644e-05
New Best Fitness
Generation # 1  Max Fitness: 6.262278262365644e-05
Generation # 2  Max Fitness: 8.568313214378603e-05
New Best Fitness
Generation # 3  Max Fitness: 8.568313214378603e-05
Generation # 4  Max Fitness: 8.568313214378603e-05
Generation # 5  Max Fitness: 0.00011865105603504744
New Best Fitness
Generation # 6  Max Fitness: 0.00011865105603504744
Generation # 7  Max Fitness: 0.00011865105603504744
Generation # 8  Max Fitness: 0.00011865105603504744
Generation # 9  Max Fitness: 0.00016758438811019115
New Best Fitness
Generation # 10  Max Fitness: 0.00016758438811019115
Generation # 11  Max Fitness: 0.00016758438811019115
Generation # 12  Max Fitness: 0.00016758438811019115
Generation # 13  Max Fitness: 0.00016758438811019115
Generation # 14  Max Fitness: 0.00016758438811019115
Generation # 15  Max Fitness: 0.00016758438811019115
Generation # 16  Max Fitness: 0.00016758438811019115
Generation # 17  Max Fitness: 0.00016758438811019115
Generation # 18  Max Fitness: 0.00016758438811019115
Generation # 19  Max Fitness: 0.00016758438811019115
Generation # 20  Max Fitness: 0.00016758438811019115
Generation # 21  Max Fitness: 0.00016758438811019115
Generation # 22  Max Fitness: 0.0003442768838210358
New Best Fitness
Generation # 23  Max Fitness: 0.0003442768838210358
Generation # 24  Max Fitness: 0.0003442768838210358
Generation # 25  Max Fitness: 0.0003442768838210358
Generation # 26  Max Fitness: 0.0003442768838210358
Generation # 27  Max Fitness: 0.0003442768838210358
Generation # 28  Max Fitness: 0.0003442768838210358
Generation # 29  Max Fitness: 0.0003442768838210358
Generation # 30  Max Fitness: 0.0003442768838210358
Generation # 31  Max Fitness: 0.00014446930009499236
Generation # 32  Max Fitness: 0.00014446930009499236
Generation # 33  Max Fitness: 0.00014446930009499236
Generation # 34  Max Fitness: 0.00014446930009499236
Generation # 35  Max Fitness: 0.00014446930009499236
Generation # 36  Max Fitness: 0.00014446930009499236
Generation # 37  Max Fitness: 0.00014446930009499236
Generation # 38  Max Fitness: 0.00014446930009499236
Generation # 39  Max Fitness: 0.00014446930009499236
Generation # 40  Max Fitness: 0.00012260210028243045
Generation # 41  Max Fitness: 0.00012260210028243045
Generation # 42  Max Fitness: 0.00012260210028243045
Generation # 43  Max Fitness: 0.00012260210028243045
Generation # 44  Max Fitness: 0.00012260210028243045
Generation # 45  Max Fitness: 0.00012260210028243045
Generation # 46  Max Fitness: 0.00012260210028243045
Generation # 47  Max Fitness: 0.00012260210028243045
Generation # 48  Max Fitness: 0.00012260210028243045
Generation # 49  Max Fitness: 0.00012682534590802565
Accuracy:  97.89473684210527 %
Replaced  0.0  with  0.0003442768838210358
32 <= node_count < 78
Population: 1  Node Count: 55
9.853440963288683e-09 9.853440963288683e-09
Generation # 0  Max Fitness: 9.853440963288683e-09
Generation # 1  Max Fitness: 4.206250470501697e-05
New Best Fitness
Generation # 2  Max Fitness: 9.646704156836816e-05
New Best Fitness
Generation # 3  Max Fitness: 0.000313216594671798
New Best Fitness
Generation # 4  Max Fitness: 0.000313216594671798
Generation # 5  Max Fitness: 0.000313216594671798
Generation # 6  Max Fitness: 0.000313216594671798
Generation # 7  Max Fitness: 0.000313216594671798
Generation # 8  Max Fitness: 0.000313216594671798
Generation # 9  Max Fitness: 0.000313216594671798
Generation # 10  Max Fitness: 0.000313216594671798
Generation # 11  Max Fitness: 0.000313216594671798
Generation # 12  Max Fitness: 0.000313216594671798
Generation # 13  Max Fitness: 0.000313216594671798
Generation # 14  Max Fitness: 0.000313216594671798
Generation # 15  Max Fitness: 0.000313216594671798
Generation # 16  Max Fitness: 0.0003937926238620284
New Best Fitness
Generation # 17  Max Fitness: 0.0004744224622510502
New Best Fitness
Generation # 18  Max Fitness: 0.0004744224622510502
Generation # 19  Max Fitness: 0.0004744224622510502
Generation # 20  Max Fitness: 0.0004744224622510502
Generation # 21  Max Fitness: 0.0004744224622510502
Generation # 22  Max Fitness: 0.0004744224622510502
Generation # 23  Max Fitness: 0.0004744224622510502
Generation # 24  Max Fitness: 0.0004744224622510502
Generation # 25  Max Fitness: 0.0004744224622510502
Generation # 26  Max Fitness: 0.0004744224622510502
Generation # 27  Max Fitness: 0.0004744224622510502
Generation # 28  Max Fitness: 0.0004744224622510502
Generation # 29  Max Fitness: 0.0004744224622510502
Generation # 30  Max Fitness: 0.0004744224622510502
Generation # 31  Max Fitness: 0.0004744224622510502
Generation # 32  Max Fitness: 0.0005323798311124351
New Best Fitness
Generation # 33  Max Fitness: 0.0005323798311124351
Generation # 34  Max Fitness: 0.0005323798311124351
Generation # 35  Max Fitness: 0.0005323798311124351
Generation # 36  Max Fitness: 0.0005323798311124351
Generation # 37  Max Fitness: 0.0006734076009435437
New Best Fitness
Generation # 38  Max Fitness: 0.0006734076009435437
Generation # 39  Max Fitness: 0.0006734076009435437
Generation # 40  Max Fitness: 0.0006734076009435437
Generation # 41  Max Fitness: 0.0006734076009435437
Generation # 42  Max Fitness: 0.0006734076009435437
Generation # 43  Max Fitness: 0.0006734076009435437
Generation # 44  Max Fitness: 0.0006734076009435437
Generation # 45  Max Fitness: 0.0006734076009435437
Generation # 46  Max Fitness: 0.0006734076009435437
Generation # 47  Max Fitness: 0.0006734076009435437
Generation # 48  Max Fitness: 0.0006734076009435437
Generation # 49  Max Fitness: 0.0006734076009435437
Accuracy:  96.84210526315789 %
44 <= node_count < 78
Population: 2  Node Count: 76
5.6542437574277447e-11 5.6542437574277447e-11
